ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score
출시/NNG,3031,1775,4806,0.00047673498662279424,0.00035052332638935103,1.360066365720982
단기물/NNG,2295,2505,4800,0.0003609722185085163,0.0004946822155522954,0.7297052676646226
pmi/NNG,2317,2414,4731,0.000364432518642367,0.0004767117238895174,0.7644714832455596
분양/NNG,3079,1634,4713,0.0004842847323693776,0.00032267893820856316,1.5008253561822518
프로그램/NNG,2946,1746,4692,0.0004633656451965529,0.0003447964664089053,1.3438816529141357
사업장/NNG,3279,1338,4617,0.0005157420063134748,0.0002642254708219446,1.9519011725444946
참여/NNG,2869,1730,4599,0.00045125459472807543,0.00034163681952314214,1.3208605423675883
무보증/NNG,1737,2846,4583,0.00027320642420448487,0.0005620221898051228,0.4861132338906712
cds/NNG,1855,2723,4578,0.00029176621583150225,0.0005377324043708185,0.5425862630928622
커브/NNG,2145,2369,4514,0.0003373792630504433,0.0004678252170233085,0.7211651932683955
돌파/NNG,2752,1589,4341,0.00043285208947077856,0.00031379243134235427,1.3794217012153733
차환/NNG,2081,2227,4308,0.0003273129353883322,0.00043978335091216045,0.744259496657725
경영/NNG,2872,1408,4280,0.0004517264538372369,0.00027804892594715844,1.6246293787989126
외환시장/NNG,2890,1351,4241,0.0004545576084922057,0.0002667926839166272,1.7037858828027501
msci/NNG,2627,1604,4231,0.00041319129325571776,0.00031675460029775723,1.3044523832244508
상위/NNG,2024,2187,4211,0.00031834761231426447,0.0004318842336977525,0.7371132990630427
주식시장/NNG,2027,2103,4130,0.00031881947142342593,0.0004152960875474959,0.7676919696166502
전국/NNG,2731,1374,4105,0.00042954907570664835,0.00027133467631491176,1.5830968659829994
적절/NNG,2605,1466,4071,0.00040973099312186705,0.00028950264590804994,1.4152927405437368
소상공인/NNG,2654,1397,4051,0.0004174380252381709,0.0002758766687131963,1.5131327603210367
금융위기/NNG,1945,2092,4037,0.00030592198910634605,0.00041312383031353374,0.7405091806836014
오름/NNG,2779,1254,4033,0.0004370988214532317,0.000247637324671688,1.765076496577111
역대/NNG,2489,1452,3941,0.0003914857742342906,0.00028673795488300715,1.3653085249702013
cp/NNG,1902,2014,3916,0.00029915867520836513,0.0003977205517454383,0.7521830941234391
듀레이션/NNG,1848,2013,3861,0.0002906652112434589,0.0003975230738150781,0.7311907921568147
구조조정/NNG,1858,1996,3854,0.0002922380749406637,0.00039416594899895476,0.7414087281837698
일자/NNG,1500,2316,3816,0.00023592955458072958,0.00045735888671421805,0.5158521271461612
카드/NNG,2466,1307,3773,0.00038786818773071946,0.00025810365498077847,1.5027613140914444
금지/NNG,1097,2628,3725,0.00017254314758337357,0.0005189720009865997,0.3324710143425036
어렵/VV,2309,1401,3710,0.00036317422768460307,0.00027666658043463705,1.3126783405283877
양적완화/NNG,1226,2404,3630,0.0001928330892773163,0.0004747369445859154,0.40618934649274674
유동화/NNG,1563,2043,3606,0.00024583859587312023,0.00040344741172588405,0.609344833373603
발행금액/NNG,1747,1836,3583,0.00027477928790168975,0.0003625694801413231,0.7578665688975964
보증/NNG,2191,1283,3474,0.0003446144360575857,0.00025336418465213376,1.3601545006479014
전문/NNG,1629,1814,3443,0.0002562194962746723,0.00035822496567339875,0.7152474585154208
웃돌/VV,2232,1205,3437,0.00035106317721612565,0.00023796090608403832,1.4752976990772766
유출/NNG,1577,1841,3418,0.000248040605049207,0.0003635568697931241,0.6822608116038361
수록/NNG,1620,1793,3413,0.00025480391894718794,0.00035407792913583463,0.7196266640201618
외인/NNG,1534,1873,3407,0.00024127729115122612,0.0003698761635646504,0.6523191135809794
만들/VV,2125,1260,3385,0.0003342335356560336,0.0002488221922538492,1.3432625628305996
제품/NNG,2180,1168,3348,0.00034288428599066036,0.000230654222660711,1.4865727669553146
개입/NNG,2476,866,3342,0.0003894410514279243,0.00017101588769193128,2.2772214715480996
조기/NNG,1515,1781,3296,0.0002382888501265369,0.00035170819397151225,0.6775186197278016
확신/NNG,2111,1169,3280,0.00033203152647994676,0.0002308517005910712,1.438289281083117
고점/NNG,2034,1238,3272,0.0003199204760114693,0.0002444776777859248,1.308587675197101
발행시장/NNG,1455,1813,3268,0.0002288516679433077,0.0003580274877430386,0.6392013903344701
매일/MAG,899,2330,3229,0.00014140044637871727,0.0004601235777392608,0.3073097168231726
트레이드/NNG,1149,2049,3198,0.00018072203880883887,0.0004046322793080452,0.44663277758731595
공시/NNG,1997,1199,3196,0.00031410088033181135,0.00023677603850187713,1.3265737627809886
저금리/NNG,1402,1787,3189,0.00022051549034812193,0.0003528930615536734,0.624879076333391
청약/NNG,2036,1084,3120,0.0003202350487509103,0.0002140660765104544,1.4959635546703305
일드커브/NNG,1412,1666,3078,0.00022208835404532678,0.0003289982319800895,0.6750442174375189
투자전략/NNG,1478,1597,3075,0.0002324692544468789,0.00031537225478523584,0.7371265256202936
돌아/VV,1922,1146,3068,0.00030230440260277483,0.00022630970819278664,1.3357995333777308
종금/NNG,1462,1596,3058,0.0002299526725313511,0.00031517477685487566,0.7296036657058834
사회/NNG,1934,1075,3009,0.00030419183903942067,0.0002122887751372126,1.4329153241512964
경쟁력/NNG,1935,1073,3008,0.00030434912540914117,0.00021189381927649221,1.4363284707800161
순상환/NNG,1406,1593,2999,0.00022114463582700386,0.00031458234306379503,0.7029785386974415
부채비율/NNG,1306,1680,2986,0.00020541599885495523,0.00033176292300513227,0.6191650260200339
분야/NNG,1998,969,2967,0.0003142581667015318,0.00019135611451903163,1.6422687484610101
제보/NNG,2287,677,2964,0.00035971392755075235,0.00013369255885385388,2.6906054505544614
mmf/NNG,1430,1525,2955,0.00022491950870029553,0.0003011538437993016,0.7468591662744606
기사/NNG,1289,1650,2939,0.00020274213056970696,0.0003258385850943263,0.6222164588365604
저점/NNG,1435,1495,2930,0.00022570594054889797,0.0002952295058884957,0.7645101050101142
미선/NNG,1299,1585,2884,0.0002043149942669118,0.00031300251962091346,0.6527583053144866
그러/VV,1832,1035,2867,0.0002881486293279311,0.0002043896579228047,1.4098004383214
밸류/NNG,1975,862,2837,0.00031064058019796063,0.0001702259759704905,1.8248717825052254
fed/NNG;금리/NNG;인하/NNG,1775,1035,2810,0.0002791833062538633,0.0002043896579228047,1.3659365600548499
풀이/NNG,1736,1052,2788,0.00027304913783476436,0.00020774678273892806,1.3143363003503197
대기업/NNG,1732,1047,2779,0.00027241999235588245,0.00020675939308712707,1.3175700909563342
잔존만기/NNG,850,1901,2751,0.00013369341426241343,0.00037540554561473594,0.3561306321234204
부양/NNG,1162,1576,2738,0.00018276676161520518,0.00031122521824767166,0.5872492037896498
우호적/VAX,1292,1444,2736,0.00020321398967886842,0.0002851581314401256,0.7126361385964443
편입/NNG,1222,1509,2731,0.00019220394379843437,0.0002979941969135384,0.6449922373964934
원대/NNG,1785,945,2730,0.0002807561699510682,0.0001866166441903869,1.5044540703702713
매크로/NNG,1333,1387,2720,0.00020966273083740836,0.0002739018894095943,0.7654665372675747
총선/NNG,1745,958,2703,0.00027446471516224874,0.00018918385728506945,1.4507829531600829
분양가/NNG,1926,766,2692,0.0003029335480816568,0.0001512680946559115,2.002626851159444
다소/MAG,1682,995,2677,0.0002645556738698581,0.00019649054070839677,1.3464041216237168
전재/NNG,521,2153,2674,8.194619862437341e-05,0.0004251699840655058,0.1927374972259283
합계/NNG,1028,1644,2672,0.00016169038807266,0.00032465371751216513,0.4980395398263114
비농업/NNG,1176,1492,2668,0.000184968770791292,0.00029463707209741505,0.6277851238290078
위험자산/NNG,1255,1392,2647,0.00019739439399921041,0.0002748892790613953,0.7180869136592383
에스/NNG,1223,1404,2627,0.00019236123016815485,0.0002772590142257177,0.6937961267205285
팬데믹/NNG,1690,930,2620,0.000265813964827622,0.00018365447523498393,1.4473590392366746
거래대금/NNG,1274,1341,2615,0.00020038283502389967,0.0002648179046130252,0.7566815971779415
포지션/NNG,1260,1338,2598,0.00019818082584781285,0.0002642254708219446,0.7500443663940419
엔달러/NNG,1610,984,2594,0.0002532310552499831,0.00019431828347443462,1.3031766786026562
배럴/NNG,1625,909,2534,0.0002555903507957904,0.00017950743869741978,1.4238426699776885
고물가/NNG,1895,582,2477,0.0002980576706203217,0.00011493215546963511,2.5933357762446914
시중/NNG,1155,1314,2469,0.00018166575702716179,0.00025948600049329986,0.7000984896364478
헤알/NNG,1134,1293,2427,0.00017836274326303158,0.00025533896395573574,0.6985331987716205
전세가격/NNG,1531,873,2404,0.00024080543204206466,0.00017239823320445264,1.3967975632121805
전쟁/NNG,1616,765,2381,0.00025417477346830603,0.0001510706167255513,1.6824898115697984
투자등급/NNG,1095,1268,2363,0.0001722285748439326,0.0002504020156967308,0.6878082605074699
전개/NNG,1464,892,2356,0.00023026724527079208,0.00017615031388129641,1.3072201814296158
주거/NNG,1608,742,2350,0.0002529164825105421,0.00014652862432726674,1.7260551218010596
공공/NNG,1508,831,2339,0.00023718784553849347,0.00016410416012932434,1.4453493765884706
방침/NNG,1456,872,2328,0.00022900895431302818,0.00017220075527409247,1.3298951793127385
가까이/MAG,1488,826,2314,0.00023404211814408374,0.00016311677047752335,1.434813339296302
박스권/NNG,1060,1242,2302,0.00016672355190371557,0.00024526758950736563,0.6797618561775309
