ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score,polarity
내림/NNG,407,197,604,6.460824070966835e-05,3.924459141798478e-05,1.6462966838294069,Hawkish
공원/NNG,374,229,603,5.936973470618173e-05,4.5619347384357945e-05,1.3014156955375151,Hawkish
충돌/NNG,475,127,602,7.540273792897412e-05,2.529981274154349e-05,2.9803674319359392,Hawkish
국세/NNG,491,110,601,7.79426196276343e-05,2.1913223634407747e-05,3.556876018243624,Hawkish
구매력/NNG,439,161,600,6.96880041069887e-05,3.207299095581497e-05,2.1727940560016266,Hawkish
세상/NNG,400,200,600,6.349704246650452e-05,3.9842224789832265e-05,1.5937122688667968,Hawkish
녹색채권/NNG,473,127,600,7.508525271664159e-05,2.529981274154349e-05,2.967818516433051,Hawkish
웃돈/NNG,409,188,597,6.492572592200087e-05,3.745169130244233e-05,1.7335859520386168,Hawkish
위반/NNG,399,197,596,6.333829986033826e-05,3.924459141798478e-05,1.613937043852416,Hawkish
징후/NNG,385,206,591,6.111590337401059e-05,4.103749153352723e-05,1.4892699599847494,Hawkish
순손실/NNG,379,210,589,6.016344773701303e-05,4.183433602932388e-05,1.4381355950012285,Hawkish
사업부문/NNG,371,218,589,5.889350688768294e-05,4.342802502091717e-05,1.3561175498843616,Hawkish
환전/NNG,443,145,588,7.032297453165375e-05,2.888561297262839e-05,2.4345328796827275,Hawkish
만드/VV,369,219,588,5.8576021675350415e-05,4.362723614486633e-05,1.3426480073329865,Hawkish
전고점/NNG,405,183,588,6.429075549733582e-05,3.645563568269652e-05,1.763534068008341,Hawkish
추후/NNG,374,212,586,5.936973470618173e-05,4.22327582772222e-05,1.4057745013117502,Hawkish
평균치/NNG,363,221,584,5.762356603835285e-05,4.402565839276465e-05,1.3088632434358536,Hawkish
속보치/NNG,381,202,583,6.048093294934555e-05,4.0240647037730585e-05,1.5029811248471523,Hawkish
서부텍사스산원유/NNG,369,214,583,5.8576021675350415e-05,4.263118052512052e-05,1.3740182878781495,Hawkish
자재/NNG,417,164,581,6.619566677133096e-05,3.2670624327662455e-05,2.0261524881629707,Hawkish
편집/NNG,377,201,578,5.98459625246805e-05,4.004143591378143e-05,1.494600809360155,Hawkish
유튜브/NNG,412,165,577,6.540195374049965e-05,3.286983545161162e-05,1.989725620524607,Hawkish
만나/VV,367,210,577,5.825853646301789e-05,4.183433602932388e-05,1.3926009587478914,Hawkish
스태그플레이션/NNG,488,88,576,7.74663918091355e-05,1.7530578907526195e-05,4.418929472767028,Hawkish
감사/NNG,376,199,575,5.9687219918514246e-05,3.96430136658831e-05,1.505617620838984,Hawkish
열풍/NNG,391,184,575,6.206835901100817e-05,3.665484680664568e-05,1.6933192856709718,Hawkish
모두/NNG,372,203,575,5.90522494938492e-05,4.043985816167975e-05,1.4602486798483951,Hawkish
출산/NNG,441,131,572,7.000548931932123e-05,2.609665723734013e-05,2.682546223550601,Hawkish
모으/VV,405,167,572,6.429075549733582e-05,3.326825769950994e-05,1.932495415841475,Hawkish
